x,y,z,k
-2.777,-55.103,23.234,612.8759
-2.777,-55.103,23.898,613.1011
-2.777,-55.103,24.562,613.3203
-2.777,-55.103,25.226,613.5331
-2.777,-55.103,25.890,613.7848
-2.777,-55.103,26.554,614.0694
-2.777,-55.103,27.219,614.3041
-2.777,-55.103,27.883,614.5631
-2.777,-55.103,28.547,614.8080
-2.777,-55.103,29.211,615.0370
-2.777,-55.103,29.875,615.3442
-2.777,-55.103,30.539,615.6424
-2.777,-55.103,31.203,615.9494
-2.777,-55.103,31.867,616.2172
-2.777,-55.103,32.531,616.4903
-2.777,-55.103,33.196,616.7847
-2.777,-55.103,33.860,616.9747
-2.777,-53.966,-18.605,605.3150
-2.777,-53.966,-17.941,605.3444
-2.777,-53.966,-17.277,605.3739
-2.777,-53.966,-16.613,605.4000
-2.777,-53.966,-15.949,605.4645
-2.777,-53.966,-15.284,605.5895
-2.777,-53.966,-14.620,605.7082
-2.777,-53.966,-13.956,605.8110
-2.777,-53.966,-13.292,605.9145
-2.777,-53.966,-12.628,606.0634
-2.777,-53.966,-11.964,606.2477
-2.777,-53.966,-11.300,606.4210
-2.777,-53.966,-10.636,606.5703
-2.777,-53.966,-9.972,606.7067
-2.777,-53.966,-9.307,606.8745
-2.777,-53.966,-8.643,607.0515
-2.777,-53.966,-7.979,607.2480
-2.777,-53.966,-7.315,607.4736
-2.777,-53.966,-6.651,607.6686
-2.777,-53.966,-5.987,607.8877
-2.777,-53.966,-5.323,608.1185
-2.777,-53.966,-4.659,608.3753
-2.777,-53.966,-3.995,608.6099
-2.777,-53.966,-3.330,608.8280
-2.777,-53.966,-2.666,609.0526
-2.777,-53.966,-2.002,609.2787
-2.777,-53.966,-1.338,609.5270
-2.777,-53.966,-0.674,609.7464
-2.777,-53.966,-0.010,609.9915
-2.777,-53.966,0.654,610.2555
-2.777,-53.966,1.318,610.4682
-2.777,-53.966,1.982,610.6562
-2.777,-53.966,2.647,610.8525
-2.777,-53.966,3.311,611.0364
-2.777,-53.966,3.975,611.2357
-2.777,-53.966,4.639,611.4241
-2.777,-53.966,5.303,611.5372
-2.777,-53.966,5.967,611.6409
-2.777,-53.966,6.631,611.8083
-2.777,-53.966,7.295,611.9937
-2.777,-53.966,7.959,612.0986
-2.777,-53.966,8.624,612.1871
-2.777,-53.966,9.288,612.3226
-2.777,-53.966,9.952,612.4072
-2.777,-53.966,10.616,612.4463
-2.777,-53.966,11.280,612.4306
-2.777,-53.966,11.944,612.4161
-2.777,-53.966,12.608,612.4262
-2.777,-53.966,13.272,612.4810
-2.777,-53.966,13.936,612.5237
-2.777,-53.966,14.600,612.5167
-2.777,-53.966,15.265,612.5071
-2.777,-53.966,15.929,612.4945
-2.777,-53.966,16.593,612.5274
-2.777,-53.966,17.257,612.5809
-2.777,-53.966,17.921,612.5864
-2.777,-53.966,18.585,612.6105
-2.777,-53.966,19.249,612.6376
-2.777,-53.966,19.913,612.7123
-2.777,-53.966,20.577,612.8145
-2.777,-53.966,21.242,612.8397
-2.777,-53.966,21.906,612.9102
-2.777,-53.966,22.570,613.0300
-2.777,-53.966,23.234,613.1357
-2.777,-53.966,23.898,613.2759
-2.777,-53.966,24.562,613.3991
-2.777,-53.966,25.226,613.5173
-2.777,-53.966,25.890,613.7039
-2.777,-53.966,26.554,613.9028
-2.777,-53.966,27.219,614.0719
-2.777,-53.966,27.883,614.2196
-2.777,-53.966,28.547,614.4081
-2.777,-53.966,29.211,614.6044
-2.777,-53.966,29.875,614.8392
-2.777,-53.966,30.539,615.0612
-2.777,-53.966,31.203,615.2685
-2.777,-53.966,31.867,615.4765
-2.777,-53.966,32.531,615.6975
-2.777,-53.966,33.196,615.9450
-2.777,-53.966,33.860,616.1160
-2.777,-52.830,-18.605,602.0813
-2.777,-52.830,-17.941,602.0660
-2.777,-52.830,-17.277,602.0533
-2.777,-52.830,-16.613,602.0741
-2.777,-52.830,-15.949,602.1347
-2.777,-52.830,-15.284,602.2466
-2.777,-52.830,-14.620,602.3445
-2.777,-52.830,-13.956,602.4622
-2.777,-52.830,-13.292,602.6245
-2.777,-52.830,-12.628,602.8179
-2.777,-52.830,-11.964,603.0239
-2.777,-52.830,-11.300,603.2180
-2.777,-52.830,-10.636,603.4502
-2.777,-52.830,-9.972,603.7010
-2.777,-52.830,-9.307,603.9710
-2.777,-52.830,-8.643,604.2331
-2.777,-52.830,-7.979,604.5110
-2.777,-52.830,-7.315,604.8632
-2.777,-52.830,-6.651,605.2028
-2.777,-52.830,-5.987,605.5626
-2.777,-52.830,-5.323,605.9125
-2.777,-52.830,-4.659,606.2821
-2.777,-52.830,-3.995,606.6645
-2.777,-52.830,-3.330,607.0712
-2.777,-52.830,-2.666,607.5121
-2.777,-52.830,-2.002,607.8977
-2.777,-52.830,-1.338,608.2622
-2.777,-52.830,-0.674,608.6416
-2.777,-52.830,-0.010,609.0735
-2.777,-52.830,0.654,609.5482
-2.777,-52.830,1.318,609.9595
-2.777,-52.830,1.982,610.3117
-2.777,-52.830,2.647,610.6871
-2.777,-52.830,3.311,611.1025
-2.777,-52.830,3.975,611.4523
-2.777,-52.830,4.639,611.7695
-2.777,-52.830,5.303,612.0363
-2.777,-52.830,5.967,612.3283
-2.777,-52.830,6.631,612.6806
-2.777,-52.830,7.295,612.9529
-2.777,-52.830,7.959,613.1701
-2.777,-52.830,8.624,613.4330
-2.777,-52.830,9.288,613.7107
-2.777,-52.830,9.952,613.8960
-2.777,-52.830,10.616,614.0290
-2.777,-52.830,11.280,614.1154
-2.777,-52.830,11.944,614.1872
-2.777,-52.830,12.608,614.2691
-2.777,-52.830,13.272,614.3213
-2.777,-52.830,13.936,614.4049
-2.777,-52.830,14.600,614.4562
-2.777,-52.830,15.265,614.4909
-2.777,-52.830,15.929,614.5051
-2.777,-52.830,16.593,614.4577
-2.777,-52.830,17.257,614.4760
-2.777,-52.830,17.921,614.4667
-2.777,-52.830,18.585,614.4289
-2.777,-52.830,19.249,614.4278
-2.777,-52.830,19.913,614.3963
-2.777,-52.830,20.577,614.3558
-2.777,-52.830,21.242,614.3106
-2.777,-52.830,21.906,614.3040
-2.777,-52.830,22.570,614.3487
-2.777,-52.830,23.234,614.3508
-2.777,-52.830,23.898,614.3580
-2.777,-52.830,24.562,614.3628
-2.777,-52.830,25.226,614.3890
-2.777,-52.830,25.890,614.4475
-2.777,-52.830,26.554,614.4602
-2.777,-52.830,27.219,614.5049
-2.777,-52.830,27.883,614.5574
-2.777,-52.830,28.547,614.6322
-2.777,-52.830,29.211,614.7567
-2.777,-52.830,29.875,614.8827
-2.777,-52.830,30.539,615.0097
-2.777,-52.830,31.203,615.1093
-2.777,-52.830,31.867,615.2269
-2.777,-52.830,32.531,615.3959
-2.777,-52.830,33.196,615.5617
-2.777,-52.830,33.860,615.6646
-2.777,-51.694,-18.605,600.0712
-2.777,-51.694,-17.941,600.0987
-2.777,-51.694,-17.277,600.1403
-2.777,-51.694,-16.613,600.2324
-2.777,-51.694,-15.949,600.3382
-2.777,-51.694,-15.284,600.4344
-2.777,-51.694,-14.620,600.5552
-2.777,-51.694,-13.956,600.7399
-2.777,-51.694,-13.292,600.9482
-2.777,-51.694,-12.628,601.1395
-2.777,-51.694,-11.964,601.3507
-2.777,-51.694,-11.300,601.5939
-2.777,-51.694,-10.636,601.9226
