x,y,z,k
-2.797,-49.884,20.841,591.0171
-2.797,-49.884,21.442,591.0184
-2.797,-49.884,22.044,590.9991
-2.797,-49.884,22.646,590.9923
-2.797,-49.884,23.247,591.0263
-2.797,-49.884,23.849,591.0542
-2.797,-49.884,24.451,591.0738
-2.797,-49.884,25.052,591.1181
-2.797,-49.884,25.654,591.1641
-2.797,-49.884,26.256,591.2395
-2.797,-49.884,26.857,591.3031
-2.797,-49.884,27.459,591.3455
-2.797,-49.884,28.061,591.4022
-2.797,-49.884,28.662,591.4910
-2.797,-49.884,29.264,591.5916
-2.797,-49.884,29.866,591.6624
-2.797,-49.884,30.467,591.7059
-2.797,-48.856,-17.064,592.2172
-2.797,-48.856,-16.462,592.2429
-2.797,-48.856,-15.860,592.2937
-2.797,-48.856,-15.259,592.3459
-2.797,-48.856,-14.657,592.4078
-2.797,-48.856,-14.055,592.4750
-2.797,-48.856,-13.454,592.5172
-2.797,-48.856,-12.852,592.5521
-2.797,-48.856,-12.250,592.5944
-2.797,-48.856,-11.649,592.6365
-2.797,-48.856,-11.047,592.6793
-2.797,-48.856,-10.445,592.7151
-2.797,-48.856,-9.844,592.7462
-2.797,-48.856,-9.242,592.7941
-2.797,-48.856,-8.640,592.8430
-2.797,-48.856,-8.039,592.8921
-2.797,-48.856,-7.437,592.9313
-2.797,-48.856,-6.835,592.9582
-2.797,-48.856,-6.234,592.9900
-2.797,-48.856,-5.632,593.0264
-2.797,-48.856,-5.030,593.0562
-2.797,-48.856,-4.429,593.0819
-2.797,-48.856,-3.827,593.0810
-2.797,-48.856,-3.225,593.0934
-2.797,-48.856,-2.624,593.1311
-2.797,-48.856,-2.022,593.1621
-2.797,-48.856,-1.421,593.1952
-2.797,-48.856,-0.819,593.1763
-2.797,-48.856,-0.217,593.1694
-2.797,-48.856,0.384,593.2134
-2.797,-48.856,0.986,593.2403
-2.797,-48.856,1.588,593.2618
-2.797,-48.856,2.189,593.2382
-2.797,-48.856,2.791,593.2240
-2.797,-48.856,3.393,593.2557
-2.797,-48.856,3.994,593.2693
-2.797,-48.856,4.596,593.2770
-2.797,-48.856,5.198,593.2470
-2.797,-48.856,5.799,593.2190
-2.797,-48.856,6.401,593.2084
-2.797,-48.856,7.003,593.1970
-2.797,-48.856,7.604,593.1889
-2.797,-48.856,8.206,593.1279
-2.797,-48.856,8.808,593.0567
-2.797,-48.856,9.409,593.0265
-2.797,-48.856,10.011,593.0020
-2.797,-48.856,10.613,592.9759
-2.797,-48.856,11.214,592.9040
-2.797,-48.856,11.816,592.8135
-2.797,-48.856,12.418,592.7720
-2.797,-48.856,13.019,592.7291
-2.797,-48.856,13.621,592.6715
-2.797,-48.856,14.223,592.5874
-2.797,-48.856,14.824,592.4998
-2.797,-48.856,15.426,592.4329
-2.797,-48.856,16.028,592.3644
-2.797,-48.856,16.629,592.2930
-2.797,-48.856,17.231,592.2033
-2.797,-48.856,17.833,592.1229
-2.797,-48.856,18.434,592.0662
-2.797,-48.856,19.036,592.0032
-2.797,-48.856,19.637,591.9190
-2.797,-48.856,20.239,591.8396
-2.797,-48.856,20.841,591.7804
-2.797,-48.856,21.442,591.7344
-2.797,-48.856,22.044,591.6722
-2.797,-48.856,22.646,591.5857
-2.797,-48.856,23.247,591.5598
-2.797,-48.856,23.849,591.5378
-2.797,-48.856,24.451,591.5174
-2.797,-48.856,25.052,591.5009
