1	0.1708603	598.2257	
1	1.086174	564.0601	
1	2.664619	588.5571	
1	3.890602	582.9309	
1	5.638855	607.9651	
1	6.762093	599.7351	
1	7.976448	596.5369	
1	9.485382	607.7045	
1	10.41322	579.5532	
1	11.57204	582.0764	
1	12.81133	576.3867	
1	14.13757	578.1824	
1	15.35319	571.9574	
1	16.68981	576.424	
1	18.03765	581.5454	
1	19.30285	579.7577	
1	20.55769	578.4381	
1	21.83338	574.2383	
1	23.08782	567.1088	
1	24.34019	568.5187	
1	25.77991	580.7294	
1	27.63673	615.2167	
1	28.91067	604.6912	
1	30.18676	596.6309	
1	31.29002	582.7899	
1	32.79215	599.8169	
1	34.03397	591.9275	
1	35.3507	586.7914	
1	36.8998	593.6615	
1	38.523	601.1511	
1	39.78835	582.4634	
1	41.76637	600.3784	
1	43.02547	582.2449	
1	44.96973	592.8479	
1	46.88747	593.623	
1	49.12524	602.4603	
1	50.84217	578.0157	
1	53.24081	595.6592	
1	55.65397	590.3198	
1	58.64075	593.2666	
2	0.3238602	613.3417	
2	1.235191	578.5742	
2	2.833382	604.8438	
2	4.045212	597.6794	
2	5.776749	620.9814	
2	6.836578	606.6882	
2	8.032898	601.7499	
2	9.331734	593.6743	
2	10.7085	606.2268	
2	11.63533	587.7386	
2	12.97618	590.9766	
2	14.273	590.0458	
2	15.56643	590.4449	
2	16.83027	588.4827	
2	18.1384	590.1123	
2	19.40542	588.3929	
2	20.58109	580.3894	
2	22.059	592.8656	
2	23.76052	622.1527	
2	24.78901	604.8871	
2	25.78725	581.3177	
2	27.12228	574.3085	
2	28.56545	577.5201	
2	30.00893	582.771	
2	31.42243	593.0164	
2	32.68603	591.6876	
2	33.93464	584.3939	
2	35.28374	581.7621	
2	36.94872	597.3029	
2	38.32482	586.546	
2	39.72109	577.5623	
2	42.04942	620.8307	
2	43.41946	610.4004	
2	44.9314	590.141	
2	46.84766	590.8447	
2	48.86323	584.4128	
2	51.2813	607.8784	
2	53.13615	588.6359	
2	55.77912	598.5968	
2	58.83627	605.9821	
3	0.2472305	605.7684	
3	1.492805	603.7115	
3	2.629898	585.2094	
3	4.080414	601.0406	
3	5.264488	572.7032	
3	6.601601	584.7693	
3	7.907036	590.1306	
3	9.202194	581.8597	
3	10.67813	603.4802	
3	11.59157	583.8232	
3	12.917	585.7367	
3	14.24056	587.2034	
3	15.49323	584.0955	
3	16.75014	581.6022	
3	17.98339	576.9336	
3	19.26382	576.4734	
3	20.53399	576.4636	
3	21.92213	581.5613	
3	23.24262	579.751	
3	24.48676	580.3827	
3	25.76015	579.1443	
3	27.14338	575.9827	
3	28.47285	570.2429	
3	30.0897	589.0637	
3	31.72349	616.3013	
3	32.80564	600.8508	
3	34.27723	610.401	
3	35.60651	606.0278	
3	36.66837	576.4453	
3	38.19944	577.3157	
3	39.76386	580.6787	
3	41.58454	587.2601	
3	43.41521	610.0964	
3	45.17194	607.1387	
3	46.72965	582.6141	
3	48.95899	591.0052	
3	51.15209	599.0833	
3	53.25938	596.9067	
3	55.8229	601.4941	
3	58.91892	611.3629	
4	0.07151794	588.4216	
4	1.392097	593.8788	
4	2.78511	600.1825	
4	3.897095	583.5504	
4	5.3918	584.682	
4	6.523155	577.4609	
4	7.816994	581.825	
4	9.467651	606.084	
4	10.51344	588.5992	
4	11.65544	589.538	
4	12.92455	586.405	
4	14.14899	579.1827	
4	15.40276	576.2518	
4	16.67918	575.5115	
4	17.94306	573.5077	
4	19.27398	577.3279	
4	20.58578	580.78	
4	21.82642	573.6639	
4	23.15551	572.6349	
4	24.37357	571.2201	
4	25.6417	569.6448	
4	26.90867	557.3663	
4	28.25539	553.1738	
4	29.63824	553.9374	
4	30.99105	559.7345	
4	32.50678	577.97	
4	33.91187	582.6666	
4	35.27657	581.2238	
4	36.69988	578.7872	
4	38.33157	587.0428	
4	39.96185	595.1172	
4	41.47353	579.259	
4	43.12458	589.3201	
4	45.20968	609.8077	
4	46.83329	589.8425	
4	49.18804	606.7914	
4	50.9101	582.6306	
4	53.14149	588.9935	
4	55.85316	603.4979	
4	58.55447	587.6587	
5	0	581.3684	
5	1.505005	604.9036	
5	2.604355	582.7472	
5	3.904556	584.2621	
5	5.373451	582.9547	
5	6.584129	583.1409	
5	8.099617	607.9144	
5	9.486031	607.7631	
5	10.25324	565.1288	
5	11.70947	594.3738	
5	12.97933	591.2555	
5	14.29627	592.0862	
5	15.56411	590.2435	
5	16.79093	585.1031	
5	18.03098	580.9778	
5	19.30268	579.743	
5	20.56911	579.3909	
5	21.93005	582.215	
5	23.28352	583.0933	
5	24.56261	586.5277	
5	25.828	584.588	
5	27.26621	585.7379	
5	28.67425	586.076	
5	29.92344	576.1151	
5	31.16647	573.2562	
5	32.46407	574.7028	
5	33.80093	574.2578	
5	35.42152	592.1124	
5	37.0454	604.505	
5	38.67001	611.9977	
5	39.93641	593.2605	
5	41.51661	582.3633	
5	43.14362	590.6799	
5	44.7906	580.2026	
5	47.1321	610.7098	
5	48.74186	576.0626	
5	51.07827	594.0613	
5	53.41154	607.1301	
5	55.98338	612.1204	
5	58.67373	595.4108	
6	0.1002884	591.2598	
6	1.632309	617.3474	
6	2.975128	618.5406	
6	4.186546	611.1786	
6	5.77739	621.0419	
6	6.802933	603.5468	
6	7.980797	596.9385	
6	9.400223	599.9261	
6	10.74958	609.942	
6	11.86352	608.1726	
6	13.1651	607.7209	
6	14.49516	609.5349	
6	15.85085	615.1526	
6	17.12614	613.9252	
6	18.37592	610.3326	
6	19.68232	611.7383	
6	20.87482	604.9017	
6	22.16335	601.4905	
6	23.41953	594.2163	
6	24.69764	597.475	
6	26.025	600.4114	
6	27.30128	588.5248	
6	28.89686	603.6023	
6	30.4289	615.5298	
6	31.61413	607.8381	
6	32.77683	598.6438	
6	34.03506	592.0093	
6	35.55091	601.8439	
6	37.02428	602.9321	
6	38.42262	593.7512	
6	40.08262	603.9337	
6	41.51836	582.4896	
6	43.02834	582.4487	
6	44.74419	576.9293	
6	46.86942	592.3639	
6	49.02503	595.5548	
6	50.90823	582.5018	
6	53.44073	609.0912	
6	56.2512	629.8785	
6	59.57734	654.3121	
7	0.09978485	591.2097	
7	1.560394	610.3162	
7	2.846817	606.1407	
7	4.275574	619.6887	
7	5.666122	610.5383	
7	6.934158	615.8026	
7	8.04332	602.7118	
7	9.505798	609.5697	
7	10.57587	594.2371	
7	11.83742	605.8331	
7	13.11085	602.9102	
7	14.47783	608.0133	
7	15.79412	610.2203	
7	17.12492	613.8196	
7	18.48234	619.4055	
7	19.78576	620.4712	
7	21.12936	626.1847	
7	22.47953	627.6678	
7	23.83178	627.9993	
7	24.95988	618.764	
7	26.35964	627.3413	
7	27.60836	612.9565	
7	29.10876	620.3101	
7	30.46223	618.1348	
7	31.67989	612.9272	
7	33.01141	616.6315	
7	34.18844	603.6548	
7	35.4974	597.8186	
7	36.78275	584.95	
7	38.24015	580.3107	
7	39.81556	584.4476	
7	41.50259	581.3525	
7	43.12928	589.6564	
7	45.12939	604.129	
7	46.89751	594.3237	
7	48.9853	592.818	
7	51.49989	622.7728	
7	53.74862	629.8096	
7	55.73063	595.3888	
7	58.15498	561.7346	
8	0.2918777	610.1807	
8	1.641144	618.2123	
8	2.816132	603.1775	
8	4.228928	615.2295	
8	5.786308	621.8842	
8	6.787727	602.1277	
8	8.256187	622.3938	
8	9.407104	600.5548	
8	11.14681	645.9375	
8	12.11697	630.9137	
8	13.49726	637.2229	
8	14.79312	635.7269	
8	16.10043	636.8762	
8	17.41599	638.9063	
8	18.7111	638.9313	
8	19.97451	636.4252	
8	21.28504	639.223	
8	22.56248	634.5453	
8	23.80972	626.1884	
8	25.23373	641.0413	
8	26.50895	639.3774	
8	27.94526	639.823	
8	29.29279	634.8431	
8	30.72301	638.5297	
8	32.21238	654.2206	
8	33.42631	648.5193	
8	34.67995	641.0504	
8	35.84823	624.2346	
8	37.37798	629.3176	
8	38.97367	634.4373	
8	40.74493	652.4091	
8	42.49227	652.9053	
8	43.77573	635.9222	
8	45.31187	617.038	
8	47.30445	622.7625	
8	49.48165	627.0563	
8	51.40188	616.0925	
8	53.23348	595.1685	
8	55.59179	586.2079	
8	58.37386	575.9314	
9	0.3895187	619.8364	
9	1.542862	608.6029	
9	2.888954	610.2124	
9	4.111961	604.0527	
9	5.308685	576.8604	
9	7.046852	626.3397	
9	8.007545	599.408	
9	9.318535	592.4695	
9	10.71161	606.5076	
9	11.96356	617.1436	
9	13.31471	620.9998	
9	14.61005	619.6271	
9	15.95684	624.3732	
9	17.2644	625.8337	
9	18.58154	627.8674	
9	19.88999	629.2792	
9	21.22079	633.8409	
9	22.52416	631.3684	
9	23.81309	626.4655	
9	25.10784	630.7953	
9	26.4802	637.0593	
9	28.06887	649.6954	
9	29.47376	649.151	
9	30.59997	628.902	
9	31.50665	599.5251	
9	32.67429	590.7892	
9	34.39359	619.2468	
9	35.8955	627.7985	
9	37.41004	631.712	
9	38.87386	627.0575	
9	40.43551	629.7369	
9	41.938	612.7747	
9	43.39761	608.8367	
9	45.37313	621.3757	
9	47.30112	622.5299	
9	49.4295	623.454	
9	51.40896	616.5753	
9	53.12992	588.2172	
9	55.52978	582.1112	
9	58.9587	613.9532	
